%time,field.x,field.y,field.z
5709400000000,2.42919725284,0.344428838521,0.028
5710600000000,2.41705122755,0.483379462516,0.028
5711500000000,2.38090526925,0.618259890833,0.028
5712401000000,2.32187384605,0.744836900233,0.028
5713601000000,2.24182812687,0.859151073066,0.028
5714600000000,2.14338342618,0.957523825105,0.028
5715900000000,2.02912523073,1.03760412876,0.028
5717203000000,1.9028036734,1.0965353959,0.028
5718301000000,1.76809018382,1.1326810674,0.028
5719400000000,1.62915453617,1.1449138664,0.028
5720501000000,1.49022162932,1.13281277049,0.028
5721701000000,1.35566084074,1.09665587683,0.028
5722903000000,1.22930845788,1.03777937364,0.028
5724302000000,1.11511147275,0.957818984994,0.028
5725401000000,1.0165173663,0.859266839729,0.028
5726701000000,0.936590860491,0.745035592251,0.028
5727900000000,0.877716547891,0.618689783587,0.028
5729302000000,0.84171914301,0.484034048912,0.028
5730501000000,0.829522086143,0.345178922159,0.028
5731702000000,0.841758018436,0.206295488502,0.028
5732901000000,0.877879095196,0.0716658287308,0.028
5734200000000,0.936824899574,-0.0547178433792,0.028
5735600000000,1.01676753688,-0.168866963357,0.028
5736800000000,1.11533534235,-0.267480046527,0.028
5738000000000,1.22964729246,-0.347503071664,0.028
5739100000000,1.35610485914,-0.406506254221,0.028
5740200000000,1.49083256487,-0.442581978881,0.028
5741300000000,1.62980193108,-0.454876926467,0.028
5742501000000,1.76876455182,-0.442719136169,0.028
5743901000000,1.90352298852,-0.406745324141,0.028
5745200000000,2.02995098789,-0.347822567368,0.028
5746401000000,2.14417296538,-0.267928950588,0.028
5747600000000,2.24275845253,-0.16947346066,0.028
5748700000000,2.32274488713,-0.0551262049062,0.028
5749902000000,2.38165409254,0.0715332708847,0.028
5751101000000,2.41778958824,0.206157977349,0.028
5752401000000,2.42993609596,0.345152814778,0.028
